Graph Name,Rank,No of sources of Evidences,Controller,Allocated Switch
COLT.GRAPHML,Rank 5,2,138,22
COLT.GRAPHML,Rank 5,2,138,137
COLT.GRAPHML,Rank 5,2,140,119
COLT.GRAPHML,Rank 5,2,140,4
COLT.GRAPHML,Rank 5,2,140,118
COLT.GRAPHML,Rank 5,2,140,104
COLT.GRAPHML,Rank 5,2,140,29
COLT.GRAPHML,Rank 5,2,140,32
COLT.GRAPHML,Rank 5,2,140,31
COLT.GRAPHML,Rank 5,2,140,100
COLT.GRAPHML,Rank 5,2,140,74
COLT.GRAPHML,Rank 5,2,140,34
COLT.GRAPHML,Rank 5,2,140,147
COLT.GRAPHML,Rank 5,2,140,9
COLT.GRAPHML,Rank 5,2,140,115
COLT.GRAPHML,Rank 5,2,140,30
COLT.GRAPHML,Rank 5,2,140,54
COLT.GRAPHML,Rank 5,2,140,75
COLT.GRAPHML,Rank 5,2,140,91
COLT.GRAPHML,Rank 5,2,140,99
COLT.GRAPHML,Rank 5,2,140,102
COLT.GRAPHML,Rank 5,2,140,149
COLT.GRAPHML,Rank 5,2,140,10
COLT.GRAPHML,Rank 5,2,140,37
COLT.GRAPHML,Rank 5,2,140,150
COLT.GRAPHML,Rank 5,2,140,101
COLT.GRAPHML,Rank 5,2,140,55
COLT.GRAPHML,Rank 5,2,140,141
COLT.GRAPHML,Rank 5,2,140,7
COLT.GRAPHML,Rank 5,2,140,73
COLT.GRAPHML,Rank 5,2,140,121
COLT.GRAPHML,Rank 5,2,140,139
COLT.GRAPHML,Rank 5,2,140,5
COLT.GRAPHML,Rank 5,2,140,117
COLT.GRAPHML,Rank 5,2,140,97
COLT.GRAPHML,Rank 5,2,140,11
COLT.GRAPHML,Rank 5,2,140,6
COLT.GRAPHML,Rank 5,2,140,28
COLT.GRAPHML,Rank 5,2,140,33
COLT.GRAPHML,Rank 5,2,140,8
COLT.GRAPHML,Rank 5,2,140,77
COLT.GRAPHML,Rank 5,2,140,146
COLT.GRAPHML,Rank 5,2,140,38
COLT.GRAPHML,Rank 5,2,140,35
COLT.GRAPHML,Rank 5,2,140,13
COLT.GRAPHML,Rank 5,2,140,1
COLT.GRAPHML,Rank 5,2,140,12
COLT.GRAPHML,Rank 5,2,140,120
COLT.GRAPHML,Rank 5,2,140,94
COLT.GRAPHML,Rank 5,2,140,148
COLT.GRAPHML,Rank 5,2,140,62
COLT.GRAPHML,Rank 5,2,140,98
COLT.GRAPHML,Rank 5,2,140,76
COLT.GRAPHML,Rank 5,2,140,0
COLT.GRAPHML,Rank 5,2,142,132
COLT.GRAPHML,Rank 5,2,142,135
COLT.GRAPHML,Rank 5,2,142,56
COLT.GRAPHML,Rank 5,2,142,143
COLT.GRAPHML,Rank 5,2,142,92
COLT.GRAPHML,Rank 5,2,142,15
COLT.GRAPHML,Rank 5,2,142,44
COLT.GRAPHML,Rank 5,2,142,48
COLT.GRAPHML,Rank 5,2,142,52
COLT.GRAPHML,Rank 5,2,142,19
COLT.GRAPHML,Rank 5,2,142,43
COLT.GRAPHML,Rank 5,2,142,133
COLT.GRAPHML,Rank 5,2,142,18
COLT.GRAPHML,Rank 5,2,142,60
COLT.GRAPHML,Rank 5,2,142,78
COLT.GRAPHML,Rank 5,2,142,17
COLT.GRAPHML,Rank 5,2,142,53
COLT.GRAPHML,Rank 5,2,142,128
COLT.GRAPHML,Rank 5,2,142,2
COLT.GRAPHML,Rank 5,2,142,131
COLT.GRAPHML,Rank 5,2,142,136
COLT.GRAPHML,Rank 5,2,142,58
COLT.GRAPHML,Rank 5,2,142,14
COLT.GRAPHML,Rank 5,2,142,41
COLT.GRAPHML,Rank 5,2,142,59
COLT.GRAPHML,Rank 5,2,142,130
COLT.GRAPHML,Rank 5,2,142,144
COLT.GRAPHML,Rank 5,2,142,16
COLT.GRAPHML,Rank 5,2,142,116
COLT.GRAPHML,Rank 5,2,142,129
COLT.GRAPHML,Rank 5,2,142,51
COLT.GRAPHML,Rank 5,2,142,46
COLT.GRAPHML,Rank 5,2,142,50
COLT.GRAPHML,Rank 5,2,142,45
COLT.GRAPHML,Rank 5,2,142,49
COLT.GRAPHML,Rank 5,2,142,42
COLT.GRAPHML,Rank 5,2,142,134
COLT.GRAPHML,Rank 5,2,142,3
COLT.GRAPHML,Rank 5,2,142,127
COLT.GRAPHML,Rank 5,2,142,40
COLT.GRAPHML,Rank 5,2,142,57
COLT.GRAPHML,Rank 5,2,142,47
COLT.GRAPHML,Rank 5,3,72,124
COLT.GRAPHML,Rank 5,3,72,83
COLT.GRAPHML,Rank 5,3,72,96
COLT.GRAPHML,Rank 5,3,72,87
COLT.GRAPHML,Rank 5,3,72,32
COLT.GRAPHML,Rank 5,3,72,112
COLT.GRAPHML,Rank 5,3,72,69
COLT.GRAPHML,Rank 5,3,72,68
COLT.GRAPHML,Rank 5,3,72,74
COLT.GRAPHML,Rank 5,3,72,151
COLT.GRAPHML,Rank 5,3,72,66
COLT.GRAPHML,Rank 5,3,72,105
COLT.GRAPHML,Rank 5,3,72,86
COLT.GRAPHML,Rank 5,3,72,64
COLT.GRAPHML,Rank 5,3,72,114
COLT.GRAPHML,Rank 5,3,72,81
COLT.GRAPHML,Rank 5,3,72,82
COLT.GRAPHML,Rank 5,3,72,113
COLT.GRAPHML,Rank 5,3,72,126
COLT.GRAPHML,Rank 5,3,72,27
COLT.GRAPHML,Rank 5,3,72,95
COLT.GRAPHML,Rank 5,3,72,85
COLT.GRAPHML,Rank 5,3,72,71
COLT.GRAPHML,Rank 5,3,72,88
COLT.GRAPHML,Rank 5,3,72,138
COLT.GRAPHML,Rank 5,3,72,25
COLT.GRAPHML,Rank 5,3,72,108
COLT.GRAPHML,Rank 5,3,72,61
COLT.GRAPHML,Rank 5,3,72,21
COLT.GRAPHML,Rank 5,3,72,26
COLT.GRAPHML,Rank 5,3,72,125
COLT.GRAPHML,Rank 5,3,72,107
COLT.GRAPHML,Rank 5,3,72,23
COLT.GRAPHML,Rank 5,3,72,67
COLT.GRAPHML,Rank 5,3,72,63
COLT.GRAPHML,Rank 5,3,72,89
COLT.GRAPHML,Rank 5,3,72,111
COLT.GRAPHML,Rank 5,3,72,39
COLT.GRAPHML,Rank 5,3,72,109
COLT.GRAPHML,Rank 5,3,72,122
COLT.GRAPHML,Rank 5,3,72,93
COLT.GRAPHML,Rank 5,3,72,65
COLT.GRAPHML,Rank 5,3,72,103
COLT.GRAPHML,Rank 5,3,72,80
COLT.GRAPHML,Rank 5,3,72,33
COLT.GRAPHML,Rank 5,3,72,38
COLT.GRAPHML,Rank 5,3,72,35
COLT.GRAPHML,Rank 5,3,72,106
COLT.GRAPHML,Rank 5,3,72,24
COLT.GRAPHML,Rank 5,3,72,110
COLT.GRAPHML,Rank 5,3,72,70
COLT.GRAPHML,Rank 5,3,72,90
COLT.GRAPHML,Rank 5,3,72,123
COLT.GRAPHML,Rank 5,3,72,145
COLT.GRAPHML,Rank 5,3,72,79
COLT.GRAPHML,Rank 5,3,72,20
COLT.GRAPHML,Rank 5,3,72,84
COLT.GRAPHML,Rank 5,3,72,22
COLT.GRAPHML,Rank 5,3,72,137
COLT.GRAPHML,Rank 5,3,72,152
COLT.GRAPHML,Rank 5,3,2,5
COLT.GRAPHML,Rank 5,3,2,3
COLT.GRAPHML,Rank 5,3,2,144
COLT.GRAPHML,Rank 5,3,2,7
COLT.GRAPHML,Rank 5,3,18,132
COLT.GRAPHML,Rank 5,3,18,135
COLT.GRAPHML,Rank 5,3,18,143
COLT.GRAPHML,Rank 5,3,18,15
COLT.GRAPHML,Rank 5,3,18,115
COLT.GRAPHML,Rank 5,3,18,44
COLT.GRAPHML,Rank 5,3,18,48
COLT.GRAPHML,Rank 5,3,18,19
COLT.GRAPHML,Rank 5,3,18,43
COLT.GRAPHML,Rank 5,3,18,133
COLT.GRAPHML,Rank 5,3,18,78
COLT.GRAPHML,Rank 5,3,18,17
COLT.GRAPHML,Rank 5,3,18,131
COLT.GRAPHML,Rank 5,3,18,136
COLT.GRAPHML,Rank 5,3,18,14
COLT.GRAPHML,Rank 5,3,18,41
COLT.GRAPHML,Rank 5,3,18,130
COLT.GRAPHML,Rank 5,3,18,142
COLT.GRAPHML,Rank 5,3,18,116
COLT.GRAPHML,Rank 5,3,18,129
COLT.GRAPHML,Rank 5,3,18,46
COLT.GRAPHML,Rank 5,3,18,45
COLT.GRAPHML,Rank 5,3,18,49
COLT.GRAPHML,Rank 5,3,18,42
COLT.GRAPHML,Rank 5,3,18,94
COLT.GRAPHML,Rank 5,3,18,134
COLT.GRAPHML,Rank 5,3,18,40
COLT.GRAPHML,Rank 5,3,18,47
COLT.GRAPHML,Rank 5,3,13,73
COLT.GRAPHML,Rank 5,3,13,119
COLT.GRAPHML,Rank 5,3,13,8
COLT.GRAPHML,Rank 5,3,13,4
COLT.GRAPHML,Rank 5,3,13,118
COLT.GRAPHML,Rank 5,3,13,31
COLT.GRAPHML,Rank 5,3,13,117
COLT.GRAPHML,Rank 5,3,13,12
COLT.GRAPHML,Rank 5,3,13,34
COLT.GRAPHML,Rank 5,3,13,36
COLT.GRAPHML,Rank 5,3,13,120
COLT.GRAPHML,Rank 5,3,13,37
COLT.GRAPHML,Rank 5,3,13,9
COLT.GRAPHML,Rank 5,3,13,141
COLT.GRAPHML,Rank 5,3,13,30
COLT.GRAPHML,Rank 5,3,10,104
COLT.GRAPHML,Rank 5,3,10,56
COLT.GRAPHML,Rank 5,3,10,100
COLT.GRAPHML,Rank 5,3,10,92
COLT.GRAPHML,Rank 5,3,10,52
COLT.GRAPHML,Rank 5,3,10,57
COLT.GRAPHML,Rank 5,3,10,99
COLT.GRAPHML,Rank 5,3,10,60
COLT.GRAPHML,Rank 5,3,10,102
COLT.GRAPHML,Rank 5,3,10,53
COLT.GRAPHML,Rank 5,3,10,101
COLT.GRAPHML,Rank 5,3,10,7
COLT.GRAPHML,Rank 5,3,10,128
COLT.GRAPHML,Rank 5,3,10,2
COLT.GRAPHML,Rank 5,3,10,5
COLT.GRAPHML,Rank 5,3,10,58
COLT.GRAPHML,Rank 5,3,10,97
COLT.GRAPHML,Rank 5,3,10,11
COLT.GRAPHML,Rank 5,3,10,6
COLT.GRAPHML,Rank 5,3,10,59
COLT.GRAPHML,Rank 5,3,10,144
COLT.GRAPHML,Rank 5,3,10,16
COLT.GRAPHML,Rank 5,3,10,51
COLT.GRAPHML,Rank 5,3,10,50
COLT.GRAPHML,Rank 5,3,10,1
COLT.GRAPHML,Rank 5,3,10,98
COLT.GRAPHML,Rank 5,3,10,3
COLT.GRAPHML,Rank 5,3,10,127
COLT.GRAPHML,Rank 5,3,10,0
COLT.GRAPHML,Rank 5,4,66,114
COLT.GRAPHML,Rank 5,4,66,96
COLT.GRAPHML,Rank 5,4,66,113
COLT.GRAPHML,Rank 5,4,66,87
COLT.GRAPHML,Rank 5,4,66,110
COLT.GRAPHML,Rank 5,4,66,69
COLT.GRAPHML,Rank 5,4,66,70
COLT.GRAPHML,Rank 5,4,66,68
COLT.GRAPHML,Rank 5,4,66,71
COLT.GRAPHML,Rank 5,4,66,88
COLT.GRAPHML,Rank 5,4,66,67
COLT.GRAPHML,Rank 5,4,66,89
COLT.GRAPHML,Rank 5,4,66,108
COLT.GRAPHML,Rank 5,4,66,65
COLT.GRAPHML,Rank 5,4,66,103
COLT.GRAPHML,Rank 5,4,66,152
COLT.GRAPHML,Rank 5,4,72,63
COLT.GRAPHML,Rank 5,4,72,125
COLT.GRAPHML,Rank 5,4,72,126
COLT.GRAPHML,Rank 5,4,72,64
COLT.GRAPHML,Rank 5,4,2,5
COLT.GRAPHML,Rank 5,4,2,3
COLT.GRAPHML,Rank 5,4,2,144
COLT.GRAPHML,Rank 5,4,2,7
COLT.GRAPHML,Rank 5,4,10,104
COLT.GRAPHML,Rank 5,4,10,100
COLT.GRAPHML,Rank 5,4,10,97
COLT.GRAPHML,Rank 5,4,10,11
COLT.GRAPHML,Rank 5,4,10,98
COLT.GRAPHML,Rank 5,4,10,101
COLT.GRAPHML,Rank 5,4,10,6
COLT.GRAPHML,Rank 5,4,18,132
COLT.GRAPHML,Rank 5,4,18,135
COLT.GRAPHML,Rank 5,4,18,56
COLT.GRAPHML,Rank 5,4,18,143
COLT.GRAPHML,Rank 5,4,18,92
COLT.GRAPHML,Rank 5,4,18,15
COLT.GRAPHML,Rank 5,4,18,48
COLT.GRAPHML,Rank 5,4,18,44
COLT.GRAPHML,Rank 5,4,18,52
COLT.GRAPHML,Rank 5,4,18,19
COLT.GRAPHML,Rank 5,4,18,43
COLT.GRAPHML,Rank 5,4,18,133
COLT.GRAPHML,Rank 5,4,18,60
COLT.GRAPHML,Rank 5,4,18,78
COLT.GRAPHML,Rank 5,4,18,17
COLT.GRAPHML,Rank 5,4,18,53
COLT.GRAPHML,Rank 5,4,18,128
COLT.GRAPHML,Rank 5,4,18,2
COLT.GRAPHML,Rank 5,4,18,131
COLT.GRAPHML,Rank 5,4,18,136
COLT.GRAPHML,Rank 5,4,18,58
COLT.GRAPHML,Rank 5,4,18,14
COLT.GRAPHML,Rank 5,4,18,41
COLT.GRAPHML,Rank 5,4,18,59
COLT.GRAPHML,Rank 5,4,18,130
COLT.GRAPHML,Rank 5,4,18,144
COLT.GRAPHML,Rank 5,4,18,142
COLT.GRAPHML,Rank 5,4,18,16
COLT.GRAPHML,Rank 5,4,18,116
COLT.GRAPHML,Rank 5,4,18,129
COLT.GRAPHML,Rank 5,4,18,51
COLT.GRAPHML,Rank 5,4,18,46
COLT.GRAPHML,Rank 5,4,18,50
COLT.GRAPHML,Rank 5,4,18,45
COLT.GRAPHML,Rank 5,4,18,49
COLT.GRAPHML,Rank 5,4,18,42
COLT.GRAPHML,Rank 5,4,18,134
COLT.GRAPHML,Rank 5,4,18,3
COLT.GRAPHML,Rank 5,4,18,127
COLT.GRAPHML,Rank 5,4,18,40
COLT.GRAPHML,Rank 5,4,18,57
COLT.GRAPHML,Rank 5,4,18,47
DELTACOM.GRAPHML,Rank 1,2,47,68
DELTACOM.GRAPHML,Rank 1,2,47,66
DELTACOM.GRAPHML,Rank 1,2,47,92
DELTACOM.GRAPHML,Rank 1,2,47,15
DELTACOM.GRAPHML,Rank 1,2,47,86
DELTACOM.GRAPHML,Rank 1,2,47,44
DELTACOM.GRAPHML,Rank 1,2,47,64
DELTACOM.GRAPHML,Rank 1,2,47,81
DELTACOM.GRAPHML,Rank 1,2,47,95
DELTACOM.GRAPHML,Rank 1,2,47,43
DELTACOM.GRAPHML,Rank 1,2,47,91
DELTACOM.GRAPHML,Rank 1,2,47,18
DELTACOM.GRAPHML,Rank 1,2,47,60
DELTACOM.GRAPHML,Rank 1,2,47,25
DELTACOM.GRAPHML,Rank 1,2,47,102
DELTACOM.GRAPHML,Rank 1,2,47,37
DELTACOM.GRAPHML,Rank 1,2,47,2
DELTACOM.GRAPHML,Rank 1,2,47,97
DELTACOM.GRAPHML,Rank 1,2,47,39
DELTACOM.GRAPHML,Rank 1,2,47,41
DELTACOM.GRAPHML,Rank 1,2,47,109
DELTACOM.GRAPHML,Rank 1,2,47,93
DELTACOM.GRAPHML,Rank 1,2,47,33
DELTACOM.GRAPHML,Rank 1,2,47,77
DELTACOM.GRAPHML,Rank 1,2,47,106
DELTACOM.GRAPHML,Rank 1,2,47,46
DELTACOM.GRAPHML,Rank 1,2,47,13
DELTACOM.GRAPHML,Rank 1,2,47,12
DELTACOM.GRAPHML,Rank 1,2,47,34
DELTACOM.GRAPHML,Rank 1,2,47,48
DELTACOM.GRAPHML,Rank 1,2,47,52
DELTACOM.GRAPHML,Rank 1,2,47,19
DELTACOM.GRAPHML,Rank 1,2,47,99
DELTACOM.GRAPHML,Rank 1,2,47,88
DELTACOM.GRAPHML,Rank 1,2,47,78
DELTACOM.GRAPHML,Rank 1,2,47,73
DELTACOM.GRAPHML,Rank 1,2,47,26
DELTACOM.GRAPHML,Rank 1,2,47,107
DELTACOM.GRAPHML,Rank 1,2,47,111
DELTACOM.GRAPHML,Rank 1,2,47,6
DELTACOM.GRAPHML,Rank 1,2,47,50
DELTACOM.GRAPHML,Rank 1,2,47,45
DELTACOM.GRAPHML,Rank 1,2,47,42
DELTACOM.GRAPHML,Rank 1,2,47,94
DELTACOM.GRAPHML,Rank 1,2,47,40
DELTACOM.GRAPHML,Rank 1,2,47,0
DELTACOM.GRAPHML,Rank 1,2,47,56
DELTACOM.GRAPHML,Rank 1,2,47,104
DELTACOM.GRAPHML,Rank 1,2,47,29
DELTACOM.GRAPHML,Rank 1,2,47,100
DELTACOM.GRAPHML,Rank 1,2,47,74
DELTACOM.GRAPHML,Rank 1,2,47,30
DELTACOM.GRAPHML,Rank 1,2,47,54
DELTACOM.GRAPHML,Rank 1,2,47,82
DELTACOM.GRAPHML,Rank 1,2,47,71
DELTACOM.GRAPHML,Rank 1,2,47,36
DELTACOM.GRAPHML,Rank 1,2,47,17
DELTACOM.GRAPHML,Rank 1,2,47,53
DELTACOM.GRAPHML,Rank 1,2,47,10
DELTACOM.GRAPHML,Rank 1,2,47,61
DELTACOM.GRAPHML,Rank 1,2,47,7
DELTACOM.GRAPHML,Rank 1,2,47,21
DELTACOM.GRAPHML,Rank 1,2,47,5
DELTACOM.GRAPHML,Rank 1,2,47,58
DELTACOM.GRAPHML,Rank 1,2,47,67
DELTACOM.GRAPHML,Rank 1,2,47,14
DELTACOM.GRAPHML,Rank 1,2,47,59
DELTACOM.GRAPHML,Rank 1,2,47,65
DELTACOM.GRAPHML,Rank 1,2,47,103
DELTACOM.GRAPHML,Rank 1,2,47,16
DELTACOM.GRAPHML,Rank 1,2,47,28
DELTACOM.GRAPHML,Rank 1,2,47,8
DELTACOM.GRAPHML,Rank 1,2,47,38
DELTACOM.GRAPHML,Rank 1,2,47,24
DELTACOM.GRAPHML,Rank 1,2,47,1
DELTACOM.GRAPHML,Rank 1,2,47,70
DELTACOM.GRAPHML,Rank 1,2,47,84
DELTACOM.GRAPHML,Rank 1,2,47,98
DELTACOM.GRAPHML,Rank 1,2,47,22
DELTACOM.GRAPHML,Rank 1,2,47,62
DELTACOM.GRAPHML,Rank 1,2,47,76
DELTACOM.GRAPHML,Rank 1,2,47,83
DELTACOM.GRAPHML,Rank 1,2,47,4
DELTACOM.GRAPHML,Rank 1,2,47,96
DELTACOM.GRAPHML,Rank 1,2,47,72
DELTACOM.GRAPHML,Rank 1,2,47,87
DELTACOM.GRAPHML,Rank 1,2,47,112
DELTACOM.GRAPHML,Rank 1,2,47,31
DELTACOM.GRAPHML,Rank 1,2,47,32
DELTACOM.GRAPHML,Rank 1,2,47,69
DELTACOM.GRAPHML,Rank 1,2,47,105
DELTACOM.GRAPHML,Rank 1,2,47,9
DELTACOM.GRAPHML,Rank 1,2,47,27
DELTACOM.GRAPHML,Rank 1,2,47,75
DELTACOM.GRAPHML,Rank 1,2,47,85
DELTACOM.GRAPHML,Rank 1,2,47,108
DELTACOM.GRAPHML,Rank 1,2,47,101
DELTACOM.GRAPHML,Rank 1,2,47,55
DELTACOM.GRAPHML,Rank 1,2,47,23
DELTACOM.GRAPHML,Rank 1,2,47,63
DELTACOM.GRAPHML,Rank 1,2,47,89
DELTACOM.GRAPHML,Rank 1,2,47,11
DELTACOM.GRAPHML,Rank 1,2,47,80
DELTACOM.GRAPHML,Rank 1,2,47,35
DELTACOM.GRAPHML,Rank 1,2,47,51
DELTACOM.GRAPHML,Rank 1,2,47,110
DELTACOM.GRAPHML,Rank 1,2,47,90
DELTACOM.GRAPHML,Rank 1,2,47,79
DELTACOM.GRAPHML,Rank 1,2,47,49
DELTACOM.GRAPHML,Rank 1,2,47,20
DELTACOM.GRAPHML,Rank 1,2,47,3
DELTACOM.GRAPHML,Rank 1,2,47,57
DELTACOM.GRAPHML,Rank 1,3,3,43
DELTACOM.GRAPHML,Rank 1,3,3,45
DELTACOM.GRAPHML,Rank 1,3,3,88
DELTACOM.GRAPHML,Rank 1,3,3,42
DELTACOM.GRAPHML,Rank 1,3,3,17
DELTACOM.GRAPHML,Rank 1,3,3,41
DELTACOM.GRAPHML,Rank 1,3,3,93
DELTACOM.GRAPHML,Rank 1,3,3,86
DELTACOM.GRAPHML,Rank 1,4,3,4
DELTACOM.GRAPHML,Rank 1,4,3,5
DELTACOM.GRAPHML,Rank 1,4,3,43
DELTACOM.GRAPHML,Rank 1,4,3,45
DELTACOM.GRAPHML,Rank 1,4,3,88
DELTACOM.GRAPHML,Rank 1,4,3,42
DELTACOM.GRAPHML,Rank 1,4,3,17
DELTACOM.GRAPHML,Rank 1,4,3,41
DELTACOM.GRAPHML,Rank 1,4,3,93
DELTACOM.GRAPHML,Rank 1,4,3,86
DELTACOM.GRAPHML,Rank 1,4,3,7
DELTACOM.GRAPHML,Rank 2,2,47,92
DELTACOM.GRAPHML,Rank 2,2,47,15
DELTACOM.GRAPHML,Rank 2,2,47,44
DELTACOM.GRAPHML,Rank 2,2,47,81
DELTACOM.GRAPHML,Rank 2,2,47,95
DELTACOM.GRAPHML,Rank 2,2,47,91
DELTACOM.GRAPHML,Rank 2,2,47,18
DELTACOM.GRAPHML,Rank 2,2,47,60
DELTACOM.GRAPHML,Rank 2,2,47,25
DELTACOM.GRAPHML,Rank 2,2,47,102
DELTACOM.GRAPHML,Rank 2,2,47,37
DELTACOM.GRAPHML,Rank 2,2,47,2
DELTACOM.GRAPHML,Rank 2,2,47,97
DELTACOM.GRAPHML,Rank 2,2,47,39
DELTACOM.GRAPHML,Rank 2,2,47,41
DELTACOM.GRAPHML,Rank 2,2,47,109
DELTACOM.GRAPHML,Rank 2,2,47,33
DELTACOM.GRAPHML,Rank 2,2,47,77
DELTACOM.GRAPHML,Rank 2,2,47,106
DELTACOM.GRAPHML,Rank 2,2,47,46
DELTACOM.GRAPHML,Rank 2,2,47,13
DELTACOM.GRAPHML,Rank 2,2,47,12
DELTACOM.GRAPHML,Rank 2,2,47,34
DELTACOM.GRAPHML,Rank 2,2,47,48
DELTACOM.GRAPHML,Rank 2,2,47,52
DELTACOM.GRAPHML,Rank 2,2,47,19
DELTACOM.GRAPHML,Rank 2,2,47,99
DELTACOM.GRAPHML,Rank 2,2,47,78
DELTACOM.GRAPHML,Rank 2,2,47,73
DELTACOM.GRAPHML,Rank 2,2,47,26
DELTACOM.GRAPHML,Rank 2,2,47,107
DELTACOM.GRAPHML,Rank 2,2,47,111
DELTACOM.GRAPHML,Rank 2,2,47,50
DELTACOM.GRAPHML,Rank 2,2,47,94
DELTACOM.GRAPHML,Rank 2,2,47,40
DELTACOM.GRAPHML,Rank 2,2,47,56
DELTACOM.GRAPHML,Rank 2,2,47,104
DELTACOM.GRAPHML,Rank 2,2,47,29
DELTACOM.GRAPHML,Rank 2,2,47,100
DELTACOM.GRAPHML,Rank 2,2,47,74
DELTACOM.GRAPHML,Rank 2,2,47,30
DELTACOM.GRAPHML,Rank 2,2,47,54
DELTACOM.GRAPHML,Rank 2,2,47,82
DELTACOM.GRAPHML,Rank 2,2,47,36
DELTACOM.GRAPHML,Rank 2,2,47,17
DELTACOM.GRAPHML,Rank 2,2,47,53
DELTACOM.GRAPHML,Rank 2,2,47,10
DELTACOM.GRAPHML,Rank 2,2,47,61
DELTACOM.GRAPHML,Rank 2,2,47,21
DELTACOM.GRAPHML,Rank 2,2,47,5
DELTACOM.GRAPHML,Rank 2,2,47,58
DELTACOM.GRAPHML,Rank 2,2,47,14
DELTACOM.GRAPHML,Rank 2,2,47,59
DELTACOM.GRAPHML,Rank 2,2,47,103
DELTACOM.GRAPHML,Rank 2,2,47,16
DELTACOM.GRAPHML,Rank 2,2,47,28
DELTACOM.GRAPHML,Rank 2,2,47,38
DELTACOM.GRAPHML,Rank 2,2,47,24
DELTACOM.GRAPHML,Rank 2,2,47,84
DELTACOM.GRAPHML,Rank 2,2,47,98
DELTACOM.GRAPHML,Rank 2,2,47,22
DELTACOM.GRAPHML,Rank 2,2,47,76
DELTACOM.GRAPHML,Rank 2,2,47,83
DELTACOM.GRAPHML,Rank 2,2,47,96
DELTACOM.GRAPHML,Rank 2,2,47,72
DELTACOM.GRAPHML,Rank 2,2,47,31
DELTACOM.GRAPHML,Rank 2,2,47,112
DELTACOM.GRAPHML,Rank 2,2,47,32
DELTACOM.GRAPHML,Rank 2,2,47,105
DELTACOM.GRAPHML,Rank 2,2,47,27
DELTACOM.GRAPHML,Rank 2,2,47,75
DELTACOM.GRAPHML,Rank 2,2,47,108
DELTACOM.GRAPHML,Rank 2,2,47,101
DELTACOM.GRAPHML,Rank 2,2,47,55
DELTACOM.GRAPHML,Rank 2,2,47,23
DELTACOM.GRAPHML,Rank 2,2,47,89
DELTACOM.GRAPHML,Rank 2,2,47,11
DELTACOM.GRAPHML,Rank 2,2,47,35
DELTACOM.GRAPHML,Rank 2,2,47,51
DELTACOM.GRAPHML,Rank 2,2,47,110
DELTACOM.GRAPHML,Rank 2,2,47,90
DELTACOM.GRAPHML,Rank 2,2,47,79
DELTACOM.GRAPHML,Rank 2,2,47,49
DELTACOM.GRAPHML,Rank 2,2,47,20
DELTACOM.GRAPHML,Rank 2,2,47,57
DELTACOM.GRAPHML,Rank 2,2,104,75
DELTACOM.GRAPHML,Rank 2,2,104,100
DELTACOM.GRAPHML,Rank 2,2,104,112
DELTACOM.GRAPHML,Rank 2,2,104,74
DELTACOM.GRAPHML,Rank 2,2,104,99
DELTACOM.GRAPHML,Rank 2,2,104,13
DELTACOM.GRAPHML,Rank 2,2,104,79
DELTACOM.GRAPHML,Rank 2,2,104,102
DELTACOM.GRAPHML,Rank 2,2,104,11
DELTACOM.GRAPHML,Rank 2,2,104,10
DELTACOM.GRAPHML,Rank 2,2,104,76
DELTACOM.GRAPHML,Rank 2,2,104,103
DELTACOM.GRAPHML,Rank 2,2,104,16
DELTACOM.GRAPHML,Rank 2,3,3,43
DELTACOM.GRAPHML,Rank 2,3,3,45
DELTACOM.GRAPHML,Rank 2,3,3,88
DELTACOM.GRAPHML,Rank 2,3,3,42
DELTACOM.GRAPHML,Rank 2,3,3,17
DELTACOM.GRAPHML,Rank 2,3,3,41
DELTACOM.GRAPHML,Rank 2,3,3,93
DELTACOM.GRAPHML,Rank 2,3,3,86
DELTACOM.GRAPHML,Rank 2,3,47,68
DELTACOM.GRAPHML,Rank 2,3,47,66
DELTACOM.GRAPHML,Rank 2,3,47,92
DELTACOM.GRAPHML,Rank 2,3,47,15
DELTACOM.GRAPHML,Rank 2,3,47,86
DELTACOM.GRAPHML,Rank 2,3,47,44
DELTACOM.GRAPHML,Rank 2,3,47,64
DELTACOM.GRAPHML,Rank 2,3,47,81
DELTACOM.GRAPHML,Rank 2,3,47,43
DELTACOM.GRAPHML,Rank 2,3,47,91
DELTACOM.GRAPHML,Rank 2,3,47,18
DELTACOM.GRAPHML,Rank 2,3,47,60
DELTACOM.GRAPHML,Rank 2,3,47,25
DELTACOM.GRAPHML,Rank 2,3,47,102
DELTACOM.GRAPHML,Rank 2,3,47,37
DELTACOM.GRAPHML,Rank 2,3,47,97
DELTACOM.GRAPHML,Rank 2,3,47,39
DELTACOM.GRAPHML,Rank 2,3,47,41
DELTACOM.GRAPHML,Rank 2,3,47,93
DELTACOM.GRAPHML,Rank 2,3,47,33
DELTACOM.GRAPHML,Rank 2,3,47,77
DELTACOM.GRAPHML,Rank 2,3,47,106
DELTACOM.GRAPHML,Rank 2,3,47,46
DELTACOM.GRAPHML,Rank 2,3,47,13
DELTACOM.GRAPHML,Rank 2,3,47,12
DELTACOM.GRAPHML,Rank 2,3,47,34
DELTACOM.GRAPHML,Rank 2,3,47,48
DELTACOM.GRAPHML,Rank 2,3,47,52
DELTACOM.GRAPHML,Rank 2,3,47,19
DELTACOM.GRAPHML,Rank 2,3,47,99
